URL,Rate,NameResort,Stars,KmFreeride,Continent,Country,State/Province,Altitude,Easy,Intermediate,Difficult,Adult,Currency,SkiResortSize ,VarietyOfRuns,LiftsAndCableCars,SnowReliability,OnSiteParking,InformationBoardsSignPostings,CleanlinessAndHygiene,EnvironmentallyFriendly,MountainRestaurants,ApresSki,AccommodationAtSlopesAndLifts,FamiliesAndChildren,Beginners,SnowParks,CrossCountryTrails,Country,Latitude,Longitude,TotalKms
http://www.skiresort.info/ski-resort/snow-space-salzburg-flachauwagrainst-johann-alpendorf/,4.5,. Snow Space Salzburg – Flachau/Wagrain/St. Johann-Alpendorf,3.0,5.0,Europe,Austria,Salzburg (Salzburger Land),1980.0,30.0,81.0,4.0,"51,50",European Euro,"5,0",5.0,"5,0",4.0,"5,0","4,0","5,0","4,0","5,0","5,0","5,0","5,0","3,0","5,0","4,0",AT,47.516231,14.550072,115
http://www.skiresort.info/ski-resort/schmittenhoehe-zell-am-see/,4.4,Schmittenhöhe – Zell am See,5.0,8.0,Europe,Austria,Salzburg (Salzburger Land),2000.0,30.0,28.0,19.0,51,European Euro,"4,0",5.0,"5,0",4.0,"3,0","4,0","5,0","4,0","4,0","4,0","4,0","5,0","5,0","4,0","3,0",AT,47.516231,14.550072,77
http://www.skiresort.info/ski-resort/wildkogel-neukirchenbramberg/,4.4, Wildkogel – Neukirchen/Bramberg,4.0,2.0,Europe,Austria,Salzburg (Salzburger Land),2150.0,29.0,25.0,10.0,45,European Euro,"3,0",4.0,"5,0",5.0,"3,0","4,0","5,0","5,0","5,0","4,0","4,0","5,0","5,0","2,0","4,0",AT,47.516231,14.550072,64
http://www.skiresort.info/ski-resort/kitzsteinhornmaiskogel-kaprun/,4.4,Kitzsteinhorn/Maiskogel – Kaprun,5.0,0.5,Europe,Austria,Salzburg (Salzburger Land),3029.0,13.0,25.0,3.0,51,European Euro,"3,0",4.0,"5,0",5.0,"3,0","4,0","5,0","5,0","4,0","4,0","2,0","3,0","4,0","5,0","3,0",AT,47.516231,14.550072,41
http://www.skiresort.info/ski-resort/bad-gasteinbad-hofgastein-schlossalmangertalstubnerkogel/,4.4, Bad Gastein/Bad Hofgastein – Schlossalm/Angertal/Stubnerkogel,4.0,1.3,Europe,Austria,Salzburg (Salzburger Land),2300.0,30.6,52.8,2.6,52,European Euro,"4,0",5.0,"4,0",4.0,"4,0","4,0","4,0","4,0","5,0","4,0","3,0","5,0","4,0","4,0","3,0",AT,47.516231,14.550072,86
http://www.skiresort.info/ski-resort/katschberg/,4.3, Katschberg,4.0,2.0,Europe,Austria,Carinthia (Karnten),2220.0,10.0,50.0,10.0,"45,50",European Euro,"3,0",5.0,"4,0",5.0,"4,0","4,0","4,0","4,0","5,0","4,0","5,0","4,0","3,0","2,0","4,0",AT,47.516231,14.550072,70
http://www.skiresort.info/ski-resort/turracher-hoehe/,4.3,. Turracher Höhe,3.0,1.0,Europe,Austria,Carinthia (Karnten),2205.0,14.0,24.5,3.5,46,European Euro,"3,0",4.0,"5,0",5.0,"3,0","4,0","5,0","4,0","4,0","3,0","5,0","5,0","4,0","5,0","4,0",AT,47.516231,14.550072,42
http://www.skiresort.info/ski-resort/ski-juwel-alpbachtal-wildschoenau/,4.2, Ski Juwel Alpbachtal Wildschönau,4.0,6.3,Europe,Austria,Tyrol (Tirol),2025.0,25.9,53.7,13.5,"45,50",European Euro,"4,0",4.0,"4,0",4.0,"5,0","4,0","5,0","4,0","4,0","3,0","4,0","5,0","4,0","4,0","4,0",AT,47.516231,14.550072,93
http://www.skiresort.info/ski-resort/damuels-mellau/,4.2,Damüls Mellau,5.0,7.7,Europe,Austria,Vorarlberg,2050.0,29.7,48.0,1.7,50,European Euro,"4,0",4.0,"5,0",5.0,"3,0","4,0","4,0","4,0","4,0","3,0","4,0","5,0","4,0","4,0","3,0",AT,47.516231,14.550072,79
http://www.skiresort.info/ski-resort/steinplattewinklmoosalm-waidringreit-im-winkl/,4.2,. Steinplatte/Winklmoosalm – Waidring/Reit im Winkl,3.0,2.0,Europe,Austria,Tyrol (Tirol),1860.0,18.0,22.0,2.0,45,European Euro,"3,0",4.0,"5,0",4.0,"4,0","4,0","4,0","4,0","4,0","3,0","3,0","3,0","5,0","4,0","5,0",AT,47.516231,14.550072,42
